scaling,grid_size,processes,method,runs,iterations,mean_runtime,sd_runtime,cv_percent,cg_runs,cg_iterations,cg_mean_runtime,cg_sd_runtime,cg_cv_percent,runtime_ratio_vs_CG
weak,256,1,BJ,10,102,0.2377694,0.00018678520046061387,0.07855729141790907,10,470,0.15405400000000002,0.0010631567251455575,0.6901195198732636,1.543415945058226
weak,362,2,AS1,10,226,0.6302802,0.010291273258877624,1.6328092265753589,10,663,0.23534159999999998,0.01539268503904082,6.540571254313229,2.6781503992494313
weak,362,2,AS2,10,228,0.6363833,0.01186668473828211,1.864707125137022,10,663,0.23534159999999998,0.01539268503904082,6.540571254313229,2.70408334098179
weak,362,2,BJ,10,239,0.5740921,0.009439169672169248,1.6441908314309233,10,663,0.23534159999999998,0.01539268503904082,6.540571254313229,2.4393991542506726
weak,512,4,AS1,10,288,0.8058797,0.0010805527443550978,0.13408362865513274,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.4824667327524437
weak,512,4,AS2,10,292,0.8279038,0.0011446039392636106,0.13825325348954923,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.550310724316958
weak,512,4,BJ,10,299,0.7145063,0.0010604814472681718,0.14842156706920173,10,941,0.3246286,0.0027567974656594984,0.8492158317719075,2.2009961537584797
weak,724,8,AS1,10,454,1.293562,0.0015787674517378095,0.12204806972822403,10,1336,0.4636488999999999,0.005147245853636476,1.1101602642940545,2.78996024793761
weak,724,8,AS2,10,449,1.302238,0.001951101113616475,0.14982676850287543,10,1336,0.4636488999999999,0.005147245853636476,1.1101602642940545,2.808672683144509
weak,724,8,BJ,10,462,1.113861,0.0030615807463901675,0.2748620111836367,10,1336,0.4636488999999999,0.005147245853636476,1.1101602642940545,2.402380335637592
weak,1024,16,AS1,10,556,1.6426010000000002,0.0025576180324669386,0.1557053741271884,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,2.3596463089715494
weak,1024,16,AS2,10,551,1.669578,0.0016544606371866049,0.09909453988891834,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,2.398399590186601
weak,1024,16,BJ,10,571,1.399454,0.0026219000743735277,0.18735164388208028,10,1898,0.6961217000000001,0.007072812438407281,1.0160310242314354,2.010358246266421
weak,1448,32,AS1,10,959,3.073949,0.004596166155975355,0.14951992228808464,10,2694,1.015647,0.01754863340674834,1.7278280157129733,3.026591916285875
weak,1448,32,AS2,10,960,3.2079,0.009983094599260176,0.31120342277690005,10,2694,1.015647,0.01754863340674834,1.7278280157129733,3.1584792747874015
weak,1448,32,BJ,10,1025,2.603536,0.011373992946874712,0.43686712789355364,10,2694,1.015647,0.01754863340674834,1.7278280157129733,2.563426072247543
weak,2048,64,AS1,10,1083,5.637449,0.03325293185069064,0.5898577858653913,10,3826,2.08943,0.023891307112745987,1.1434365885789897,2.6980798591003285
weak,2048,64,AS2,10,1103,6.093189000000001,0.03870387590410037,0.6351990050546662,10,3826,2.08943,0.023891307112745987,1.1434365885789897,2.9161967617962796
weak,2048,64,BJ,10,1147,4.100351,0.0828705353682612,2.0210595475426665,10,3826,2.08943,0.023891307112745987,1.1434365885789897,1.962425637614086
weak,2896,128,AS1,10,1900,10.40896,0.10222159154394779,0.9820538415360208,10,5429,2.9923690000000005,0.137641486999136,4.599749796871174,3.4785014816020348
weak,2896,128,AS2,10,1909,11.25357,0.04170193307536543,0.37056625653339725,10,5429,2.9923690000000005,0.137641486999136,4.599749796871174,3.7607561099583635
weak,2896,128,BJ,10,2135,7.775731,0.07934537169866927,1.0204233106658303,10,5429,2.9923690000000005,0.137641486999136,4.599749796871174,2.5985201023002173
