grid_size,processes,method,mean_total_time,std_total_time,baseline_total_time,speedup,parallel_efficiency
2048,64,BJ,4.174403999999999,0.2540312052169969,208.3386,49.908585752600864,0.7798216523843885
2048,128,BJ,2.267382,0.0543927875365842,208.3386,91.8850903817707,0.7178522686075836
2048,1,CG,156.103,0.2418156322490337,156.103,1.0,1.0
2048,2,CG,56.531780000000005,0.4189153250956574,156.103,2.761331767724278,1.380665883862139
2048,4,CG,31.02038,0.3308200078592593,156.103,5.03227233193146,1.258068082982865
2048,8,CG,15.165020000000002,0.2105376298907155,156.103,10.29362308786932,1.286702885983665
2048,16,CG,7.408359999999999,0.0406700907301668,156.103,21.071195244291587,1.3169497027682242
2048,32,CG,3.443156,0.0194016644646794,156.103,45.3371848385609,1.4167870262050282
2048,64,CG,2.051772,0.0398894263684,156.103,76.08204030467323,1.1887818797605192
2048,128,CG,1.1056079999999997,0.0271142843534547,156.103,141.19199571638416,1.1030624665342512
