n,unknowns,processes,local_rows,local_unknowns,method,overlap,run_id,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time
2048,4194304,32,64,131072,BJ,0,1,1102,9.235e-09,10.6146,0.807962,0.292295,6.13858,3.33548,0.450473
2048,4194304,32,64,131072,AS1,1,1,1072,9.48762e-09,14.7067,1.31762,0.542613,8.53765,5.5093,0.513733
2048,4194304,32,64,131072,AS2,2,1,1101,9.99226e-09,14.7877,1.25711,0.453982,8.77418,5.21458,0.532848
2048,4194304,32,64,131072,BJ,0,2,1102,9.235e-09,8.8619,0.690268,0.18289,6.16411,2.04384,0.433694
2048,4194304,32,64,131072,AS1,1,2,1072,9.48762e-09,10.8208,0.996454,0.268753,7.60975,2.94597,0.556604
2048,4194304,32,64,131072,AS2,2,2,1101,9.99226e-09,13.2779,1.08986,0.325772,8.18441,4.26961,0.54868
2048,4194304,32,64,131072,BJ,0,3,1102,9.235e-09,11.901,0.902476,0.375415,6.25622,4.56217,0.441685
2048,4194304,32,64,131072,AS1,1,3,1072,9.48762e-09,12.1124,1.06008,0.332469,7.61865,3.90588,0.538938
2048,4194304,32,64,131072,AS2,2,3,1101,9.99226e-09,11.8329,1.04966,0.297576,8.32949,3.78639,0.566628
512,262144,4,128,65536,BJ,0,1,299,9.16747e-09,9.26925,1.2315,1.12713,1.70972,7.18505,0.0760059
512,262144,4,128,65536,AS1,1,1,288,8.47553e-09,12.3189,1.25963,1.14078,5.06832,9.02716,0.0703531
512,262144,4,128,65536,AS2,2,1,292,8.75927e-09,10.1811,0.841998,0.731413,4.00845,6.55099,0.0620726
512,262144,4,128,65536,BJ,0,2,299,9.16747e-09,6.4963,0.837542,0.760358,1.77276,4.68474,0.080244
512,262144,4,128,65536,AS1,1,2,288,8.47553e-09,6.26127,0.718739,0.609167,2.69496,3.70333,0.0608083
512,262144,4,128,65536,AS2,2,2,292,8.75927e-09,8.02857,0.866529,0.746045,3.46597,4.72703,0.0649402
512,262144,4,128,65536,BJ,0,3,299,9.16747e-09,7.16676,1.01232,0.925601,1.68158,5.35,0.0716596
512,262144,4,128,65536,AS1,1,3,288,8.47553e-09,1.25759,0.105189,0.0171222,1.03935,0.226543,0.0418383
512,262144,4,128,65536,AS2,2,3,292,8.75927e-09,1.18293,0.104022,0.00846475,0.97479,0.108773,0.0424208
1024,1048576,4,256,262144,BJ,0,1,577,9.65072e-09,7.25062,0.580786,0.0683527,5.52879,0.700961,0.364898
1024,1048576,4,256,262144,AS1,1,1,553,9.99784e-09,24.4779,2.64442,1.67378,17.7083,14.9425,0.941514
1024,1048576,4,256,262144,AS2,2,1,578,9.9035e-09,22.6216,2.53498,1.69133,16.7363,13.6112,1.38927
1024,1048576,4,256,262144,BJ,0,2,577,9.65072e-09,20.0652,1.80638,1.17284,14.1882,12.2246,1.16134
1024,1048576,4,256,262144,AS1,1,2,553,9.99784e-09,22.7147,2.6698,1.58098,16.7191,14.1121,1.04408
1024,1048576,4,256,262144,AS2,2,2,578,9.9035e-09,23.8581,2.13218,1.12998,17.3285,14.005,1.31276
1024,1048576,4,256,262144,BJ,0,3,577,9.65072e-09,19.0936,1.74806,0.824511,14.0615,11.5373,0.931719
1024,1048576,4,256,262144,AS1,1,3,553,9.99784e-09,24.7572,2.57524,1.57143,18.2401,15.7403,1.16693
1024,1048576,4,256,262144,AS2,2,3,578,9.9035e-09,25.242,3.17399,2.17476,17.9429,15.7339,1.21861
2048,4194304,4,512,1048576,BJ,0,1,1146,9.85032e-09,281.578,29.375,22.8103,207.709,216.53,18.2048
2048,4194304,4,512,1048576,AS1,1,1,1069,8.42689e-09,305.745,30.8074,21.5288,232.607,233.736,17.0701
2048,4194304,4,512,1048576,AS2,2,1,1115,9.20774e-09,305.565,29.8995,21.8762,232.429,230.597,16.0388
2048,4194304,4,512,1048576,BJ,0,2,1146,9.85032e-09,282.343,31.1409,24.22,209.494,217.388,17.3097
2048,4194304,4,512,1048576,AS1,1,2,1069,8.42689e-09,313.33,32.1721,22.9495,237.478,240.568,16.4436
2048,4194304,4,512,1048576,AS2,2,2,1115,9.20774e-09,322.664,32.778,23.5446,243.706,244.61,16.6709
2048,4194304,4,512,1048576,BJ,0,3,1146,9.85032e-09,259.143,29.2023,21.3708,190.612,194.399,15.7522
2048,4194304,4,512,1048576,AS1,1,3,1069,8.42689e-09,316.242,33.589,23.1586,237.402,242.97,17.0556
2048,4194304,4,512,1048576,AS2,2,3,1115,9.20774e-09,329.987,35.7661,24.6582,251.432,253.303,16.4506
