scaling,n,unknowns,processes,method,overlap,iterations,relative_residual,runtime,run_id,job_id
strong,1024,1048576,16,BJ,0,571,9.18973e-09,1.38895,1,211486
strong,1024,1048576,16,BJ,0,571,9.18973e-09,1.38604,2,211486
strong,1024,1048576,16,BJ,0,571,9.18973e-09,1.38987,3,211486
strong,1024,1048576,16,BJ,0,571,9.18973e-09,1.38672,4,211486
strong,1024,1048576,16,BJ,0,571,9.18973e-09,1.3886,5,211486
strong,1024,1048576,32,AS,1,562,8.79959e-09,0.858786,1,211487
strong,1024,1048576,32,AS,1,562,8.79959e-09,0.864211,2,211487
strong,1024,1048576,32,AS,1,562,8.79959e-09,0.856617,3,211487
strong,1024,1048576,32,AS,1,562,8.79959e-09,0.867372,4,211487
strong,1024,1048576,32,AS,1,562,8.79959e-09,0.860985,5,211487
strong,1024,1048576,32,AS,2,571,9.77984e-09,0.915276,1,211487
strong,1024,1048576,32,AS,2,571,9.77984e-09,0.91421,2,211487
strong,1024,1048576,32,AS,2,571,9.77984e-09,0.920806,3,211487
strong,1024,1048576,32,AS,2,571,9.77984e-09,0.917656,4,211487
strong,1024,1048576,32,AS,2,571,9.77984e-09,0.916689,5,211487
strong,1024,1048576,32,BJ,0,596,8.20908e-09,0.821804,1,211487
strong,1024,1048576,32,BJ,0,596,8.20908e-09,0.820229,2,211487
strong,1024,1048576,32,BJ,0,596,8.20908e-09,0.820557,3,211487
strong,1024,1048576,32,BJ,0,596,8.20908e-09,0.820764,4,211487
strong,1024,1048576,32,BJ,0,596,8.20908e-09,0.821143,5,211487
strong,1024,1048576,64,AS,1,567,8.98817e-09,0.617359,1,211488
strong,1024,1048576,64,AS,1,567,8.98817e-09,0.66057,2,211488
strong,1024,1048576,64,AS,1,567,8.98817e-09,0.643006,3,211488
strong,1024,1048576,64,AS,1,567,8.98817e-09,0.640158,4,211488
strong,1024,1048576,64,AS,1,567,8.98817e-09,0.623588,5,211488
strong,1024,1048576,64,AS,2,566,8.47533e-09,0.666333,1,211488
strong,1024,1048576,64,AS,2,566,8.47533e-09,0.685129,2,211488
strong,1024,1048576,64,AS,2,566,8.47533e-09,0.693641,3,211488
strong,1024,1048576,64,AS,2,566,8.47533e-09,0.703792,4,211488
strong,1024,1048576,64,AS,2,566,8.47533e-09,0.696955,5,211488
strong,1024,1048576,64,BJ,0,636,9.97962e-09,0.643911,1,211488
strong,1024,1048576,64,BJ,0,636,9.97962e-09,0.642083,2,211488
strong,1024,1048576,64,BJ,0,636,9.97962e-09,0.638079,3,211488
strong,1024,1048576,64,BJ,0,636,9.97962e-09,0.637074,4,211488
strong,1024,1048576,64,BJ,0,636,9.97962e-09,0.615947,5,211488
strong,2048,4194304,1,AS,1,764,9.63899e-09,187.604,1,211483
strong,2048,4194304,1,AS,1,764,9.63899e-09,187.564,2,211483
strong,2048,4194304,1,AS,1,764,9.63899e-09,187.879,3,211483
strong,2048,4194304,1,AS,1,764,9.63899e-09,188.404,4,211483
strong,2048,4194304,1,AS,1,764,9.63899e-09,188.293,5,211483
strong,2048,4194304,1,AS,2,764,9.63899e-09,187.987,1,211483
strong,2048,4194304,1,AS,2,764,9.63899e-09,188.961,2,211483
strong,2048,4194304,1,AS,2,764,9.63899e-09,189.363,3,211483
strong,2048,4194304,1,AS,2,764,9.63899e-09,188.832,4,211483
strong,2048,4194304,1,AS,2,764,9.63899e-09,188.712,5,211483
strong,2048,4194304,1,BJ,0,764,9.63899e-09,165.893,1,211483
strong,2048,4194304,1,BJ,0,764,9.63899e-09,165.445,2,211483
strong,2048,4194304,1,BJ,0,764,9.63899e-09,162.867,3,211483
strong,2048,4194304,1,BJ,0,764,9.63899e-09,163.741,4,211483
strong,2048,4194304,1,BJ,0,764,9.63899e-09,165.308,5,211483
strong,2048,4194304,2,AS,1,1150,9.92848e-09,152.631,1,211484
strong,2048,4194304,2,AS,1,1150,9.92848e-09,153.314,2,211484
strong,2048,4194304,2,AS,1,1150,9.92848e-09,152.996,3,211484
strong,2048,4194304,2,AS,1,1150,9.92848e-09,153.254,4,211484
strong,2048,4194304,2,AS,1,1150,9.92848e-09,153.692,5,211484
strong,2048,4194304,2,AS,2,1112,9.81766e-09,147.876,1,211484
strong,2048,4194304,2,AS,2,1112,9.81766e-09,146.539,2,211484
strong,2048,4194304,2,AS,2,1112,9.81766e-09,148.416,3,211484
strong,2048,4194304,2,AS,2,1112,9.81766e-09,148.5,4,211484
strong,2048,4194304,2,AS,2,1112,9.81766e-09,148.037,5,211484
strong,2048,4194304,2,BJ,0,1215,9.36541e-09,139.916,1,211484
strong,2048,4194304,2,BJ,0,1215,9.36541e-09,139.514,2,211484
strong,2048,4194304,2,BJ,0,1215,9.36541e-09,139.593,3,211484
strong,2048,4194304,2,BJ,0,1215,9.36541e-09,139.713,4,211484
strong,2048,4194304,2,BJ,0,1215,9.36541e-09,139.849,5,211484
strong,2048,4194304,4,AS,1,1069,8.42689e-09,72.8373,1,211478
strong,2048,4194304,4,AS,1,1069,8.42689e-09,71.951,2,211478
strong,2048,4194304,4,AS,1,1069,8.42689e-09,71.3769,3,211478
strong,2048,4194304,4,AS,1,1069,8.42689e-09,72.4181,4,211478
strong,2048,4194304,4,AS,1,1069,8.42689e-09,72.9504,5,211478
strong,2048,4194304,4,AS,2,1115,9.20774e-09,75.6482,1,211478
strong,2048,4194304,4,AS,2,1115,9.20774e-09,76.4182,2,211478
strong,2048,4194304,4,AS,2,1115,9.20774e-09,75.8299,3,211478
strong,2048,4194304,4,AS,2,1115,9.20774e-09,76.2648,4,211478
strong,2048,4194304,4,AS,2,1115,9.20774e-09,76.7774,5,211478
strong,2048,4194304,4,BJ,0,1146,9.85032e-09,67.3291,1,211478
strong,2048,4194304,4,BJ,0,1146,9.85032e-09,67.3649,2,211478
strong,2048,4194304,4,BJ,0,1146,9.85032e-09,67.5276,3,211478
strong,2048,4194304,4,BJ,0,1146,9.85032e-09,66.715,4,211478
