scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_file,time_per_iteration,preconditioner_time_per_iteration,reduction_time_per_iteration
strong,512,262144,2,131072,AS2,2,4,2,322,7.74869e-09,2.60216,0.269862,0.0493493,2.09524,0.0433066,0.116615,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008081242236024844,0.006506956521739131,0.00013449254658385093
strong,512,262144,2,131072,BJ,0,4,3,335,7.05933e-09,2.27384,0.198015,0.0529259,1.83687,0.0640206,0.117887,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.006787582089552238,0.005483194029850746,0.00019110626865671642
strong,512,262144,2,131072,AS1,1,4,3,310,8.5658e-09,2.42824,0.242902,0.0345318,1.97695,0.0251478,0.0998143,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.007833032258064516,0.006377258064516129,8.112193548387098e-05
strong,512,262144,2,131072,AS2,2,4,3,322,7.74869e-09,2.56884,0.25045,0.0230001,2.08373,0.0272417,0.117087,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.007977763975155278,0.006471211180124224,8.460155279503106e-05
strong,512,262144,2,131072,BJ,0,4,4,335,7.05933e-09,2.27595,0.188527,0.0318004,1.83961,0.0400487,0.109498,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.006793880597014925,0.005491373134328358,0.00011954835820895523
strong,512,262144,2,131072,AS1,1,4,4,310,8.5658e-09,2.49605,0.246593,0.0338289,2.01721,0.0333936,0.112209,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008051774193548387,0.006507129032258065,0.00010772129032258065
strong,512,262144,2,131072,AS2,2,4,4,322,7.74869e-09,2.59142,0.260353,0.030416,2.09301,0.0353082,0.123105,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008047888198757763,0.006500031055900621,0.0001096527950310559
strong,512,262144,2,131072,BJ,0,4,5,335,7.05933e-09,2.28821,0.197233,0.049445,1.83443,0.083234,0.108785,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.006830477611940298,0.005475910447761194,0.0002484597014925373
strong,512,262144,2,131072,AS1,1,4,5,310,8.5658e-09,2.55398,0.282687,0.0661793,2.01961,0.0595113,0.115377,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008238645161290322,0.006514870967741936,0.00019197193548387099
strong,512,262144,2,131072,AS2,2,4,5,322,7.74869e-09,2.6207,0.271663,0.0475498,2.11603,0.0334595,0.113602,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008138819875776396,0.006571521739130434,0.00010391149068322982
strong,1024,1048576,2,524288,BJ,0,4,1,628,8.39677e-09,17.1182,1.70165,0.237116,13.3875,0.620447,1.03748,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.027258280254777074,0.021317675159235668,0.0009879729299363056
strong,1024,1048576,2,524288,AS1,1,4,1,618,7.69727e-09,19.784,1.85757,0.163827,15.7627,0.259503,1.08529,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03201294498381877,0.025505987055016183,0.00041990776699029123
strong,1024,1048576,2,524288,AS2,2,4,1,583,9.14869e-09,18.8836,1.83158,0.247818,14.9952,0.296288,1.03948,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03239039451114923,0.025720754716981133,0.00050821269296741
strong,1024,1048576,2,524288,BJ,0,4,2,628,8.39677e-09,17.1469,1.66477,0.161035,13.4566,0.611774,1.0428,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.02730398089171974,0.021427707006369427,0.0009741624203821657
strong,1024,1048576,2,524288,AS1,1,4,2,618,7.69727e-09,20.0374,1.98027,0.301494,15.8512,0.323827,1.13173,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03242297734627832,0.025649190938511326,0.0005239919093851132
strong,1024,1048576,2,524288,AS2,2,4,2,583,9.14869e-09,18.6458,1.78597,0.144362,14.8548,0.133992,1.01503,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03198250428816467,0.02547993138936535,0.0002298319039451115
strong,1024,1048576,2,524288,BJ,0,4,3,628,8.39677e-09,17.4512,1.75199,0.331646,13.6253,0.857726,1.09136,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.027788535031847132,0.021696337579617832,0.0013658057324840763
strong,1024,1048576,2,524288,AS1,1,4,3,618,7.69727e-09,19.7285,1.89998,0.213717,15.6556,0.259904,1.10588,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03192313915857605,0.025332686084142395,0.0004205566343042072
strong,1024,1048576,2,524288,AS2,2,4,3,583,9.14869e-09,18.609,1.83795,0.184147,14.8001,0.182983,1.03635,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03191938250428817,0.025386106346483705,0.00031386449399656947
strong,1024,1048576,2,524288,BJ,0,4,4,628,8.39677e-09,17.3785,1.66883,0.299017,13.7089,0.878376,1.02529,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.02767277070063694,0.021829458598726113,0.001398687898089172
strong,1024,1048576,2,524288,AS1,1,4,4,618,7.69727e-09,19.8035,1.88665,0.198975,15.7962,0.204,1.07518,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03204449838187702,0.025560194174757283,0.00033009708737864073
strong,1024,1048576,2,524288,AS2,2,4,4,583,9.14869e-09,17.7658,1.69794,0.213239,14.2692,0.18122,0.912071,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.030473070325900513,0.024475471698113208,0.0003108404802744425
strong,1024,1048576,2,524288,BJ,0,4,5,628,8.39677e-09,17.3739,1.72941,0.296734,13.5924,0.727871,1.04036,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.02766544585987261,0.021643949044585987,0.0011590302547770702
strong,1024,1048576,2,524288,AS1,1,4,5,618,7.69727e-09,19.8175,1.89318,0.253384,15.7951,0.332106,1.06863,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.03206715210355987,0.0255584142394822,0.0005373883495145631
strong,1024,1048576,2,524288,AS2,2,4,5,583,9.14869e-09,18.832,1.80634,0.216432,15.0065,0.227291,1.02827,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.032301886792452834,0.025740137221269298,0.0003898644939965695
strong,2048,4194304,32,131072,BJ,0,4,1,1102,9.235e-09,10.6146,0.807962,0.292295,6.13858,3.33548,0.450473,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.00963212341197822,0.005570399274047187,0.0030267513611615246
strong,2048,4194304,32,131072,AS1,1,4,1,1072,9.48762e-09,14.7067,1.31762,0.542613,8.53765,5.5093,0.513733,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.01371893656716418,0.007964225746268656,0.005139272388059701
strong,2048,4194304,32,131072,AS2,2,4,1,1101,9.99226e-09,14.7877,1.25711,0.453982,8.77418,5.21458,0.532848,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.013431153496821072,0.00796928247048138,0.0047362216167120795
strong,2048,4194304,32,131072,BJ,0,4,2,1102,9.235e-09,8.8619,0.690268,0.18289,6.16411,2.04384,0.433694,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.008041651542649728,0.0055935662431941926,0.0018546642468239562
strong,2048,4194304,32,131072,AS1,1,4,2,1072,9.48762e-09,10.8208,0.996454,0.268753,7.60975,2.94597,0.556604,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.01009402985074627,0.007098647388059701,0.0027481063432835823
strong,2048,4194304,32,131072,AS2,2,4,2,1101,9.99226e-09,13.2779,1.08986,0.325772,8.18441,4.26961,0.54868,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.01205985467756585,0.0074336148955495,0.003877938237965486
strong,2048,4194304,32,131072,BJ,0,4,3,1102,9.235e-09,11.901,0.902476,0.375415,6.25622,4.56217,0.441685,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.010799455535390199,0.005677150635208712,0.004139900181488203
strong,2048,4194304,32,131072,AS1,1,4,3,1072,9.48762e-09,12.1124,1.06008,0.332469,7.61865,3.90588,0.538938,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.011298880597014924,0.007106949626865672,0.003643544776119403
strong,2048,4194304,32,131072,AS2,2,4,3,1101,9.99226e-09,11.8329,1.04966,0.297576,8.32949,3.78639,0.566628,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.01074741144414169,0.0075653860127157125,0.0034390463215258856
strong,2048,4194304,32,131072,BJ,0,4,4,1102,9.235e-09,9.79428,0.718302,0.25076,6.27032,3.1487,0.411197,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.008887731397459166,0.00568994555353902,0.002857259528130671
strong,2048,4194304,32,131072,AS1,1,4,4,1072,9.48762e-09,14.8016,1.28183,0.519778,8.4997,5.56873,0.503007,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.013807462686567165,0.007928824626865671,0.0051947108208955225
strong,2048,4194304,32,131072,AS2,2,4,4,1101,9.99226e-09,12.5961,1.04495,0.271362,8.06073,3.65343,0.571809,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.011440599455040872,0.007321280653950954,0.003318283378746594
strong,2048,4194304,32,131072,BJ,0,4,5,1102,9.235e-09,11.4613,0.824462,0.335377,6.43175,3.96965,0.423296,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.010400453720508166,0.0058364337568058075,0.0036022232304900184
strong,2048,4194304,32,131072,AS1,1,4,5,1072,9.48762e-09,10.8095,0.989724,0.264104,7.61906,2.86969,0.546419,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.01008348880597015,0.007107332089552239,0.0026769496268656714
strong,2048,4194304,32,131072,AS2,2,4,5,1101,9.99226e-09,14.3531,1.20158,0.423319,8.85941,4.78156,0.535039,212471,results/phase5/raw/timing_strong_p32_212471.csv,0.013036421435059037,0.00804669391462307,0.004342924613987284
weak,256,65536,1,65536,BJ,0,4,1,102,9.00337e-09,0.320781,0.0230309,9.44356e-05,0.266457,7.24294e-05,0.0137159,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.003144911764705882,0.0026123235294117646,7.10092156862745e-07
weak,256,65536,1,65536,AS1,1,4,1,102,9.00337e-09,0.371199,0.0342693,0.000114263,0.305331,0.00010349,0.0139492,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.003639205882352941,0.0029934411764705885,1.0146078431372549e-06
weak,256,65536,1,65536,AS2,2,4,1,102,9.00337e-09,0.358458,0.0332716,0.000105356,0.294529,0.000100984,0.0135167,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.0035142941176470586,0.0028875392156862746,9.900392156862745e-07
weak,256,65536,1,65536,BJ,0,4,2,102,9.00337e-09,0.324816,0.023837,9.76899e-05,0.269276,7.68739e-05,0.0137916,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.0031844705882352943,0.0026399607843137257,7.536656862745098e-07
weak,256,65536,1,65536,AS1,1,4,2,102,9.00337e-09,0.364789,0.033817,0.000110975,0.299893,9.18782e-05,0.0136699,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.003576362745098039,0.002940127450980392,9.007666666666667e-07
weak,256,65536,1,65536,AS2,2,4,2,102,9.00337e-09,0.376507,0.0348319,0.000121879,0.309457,0.000102916,0.0142134,212457,results/phase5/raw/timing_weak_p1_212457.csv,0.0036912450980392153,0.003033892156862745,1.0089803921568627e-06
