scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,std_iterations,min_iterations,max_iterations,mean_relative_residual,std_relative_residual,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_time_per_iteration,std_time_per_iteration,mean_spmv_time,std_spmv_time,mean_halo_time,std_halo_time,mean_preconditioner_time,std_preconditioner_time,mean_reduction_time,std_reduction_time,mean_vector_time,std_vector_time,mean_preconditioner_time_per_iteration,mean_reduction_time_per_iteration,cv_total_time
strong,1024,1048576,16,65536,AS2,2,4,5,551.0,0.0,551,551,9.87306e-09,0.0,9.87306e-09,2.594684,0.1198577234223978,2.36857,2.724,0.004709045372050817,0.00021752762871578548,0.2285124,0.013876911278811284,0.036218600000000004,0.013067168505839357,2.028364,0.037909610707576535,0.36038420000000004,0.11229737402343833,0.08127718,0.0014082665236381916,0.0036812413793103444,0.0006540548094373865,0.04619357248219737
strong,1024,1048576,32,32768,BJ,0,4,5,596.0,0.0,596,596,8.20908e-09,0.0,8.20908e-09,0.766943,0.002000229286856883,0.764428,0.770039,0.0012868171140939598,3.3560894074779576e-06,0.04861554,0.0019173381930165587,0.003974004000000001,0.0008589779575658506,0.6146588000000001,0.001625921941545789,0.0373951,0.0020733935757593167,0.030032919999999998,0.001149385017128726,0.001031306711409396,6.274345637583893e-05,0.0026080546883626068
strong,1024,1048576,32,32768,AS1,1,4,5,562.0,0.0,562,562,8.79959e-09,0.0,8.79959e-09,0.8067808,0.0024015070601603613,0.80336,0.809754,0.001435553024911032,4.2731442351607595e-06,0.0462243,0.0009780377947707323,0.005069864,0.0008640608859704273,0.66394,0.00395277482283018,0.035702,0.00423770444320979,0.026582879999999996,0.0005869349994675735,0.0011813879003558718,6.352669039145908e-05,0.002976653708368322
strong,1024,1048576,32,32768,AS2,2,4,5,571.0,0.0,571,571,9.77984e-09,0.0,9.77984e-09,0.865681,0.012977870472461937,0.85709,0.891423,0.0015160788091068303,2.2728319566483227e-05,0.04841352,0.0015368519166139597,0.00486603,0.0007490559807918232,0.7191198,0.010651263331642883,0.036008,0.005164761105414268,0.02713998,0.00045532198453402143,0.001259404203152364,6.306129597197899e-05,0.014991515896111774
strong,1024,1048576,64,16384,BJ,0,4,5,636.0,0.0,636,636,9.97962e-09,0.0,9.97962e-09,0.583699,0.004927037730726259,0.579018,0.593246,0.0009177657232704404,7.746914670953228e-06,0.04197786,0.0036548648618519417,0.007707888,0.003108496079498252,0.45217739999999995,0.001057397673536307,0.0422066,0.007320982873084734,0.020866219999999998,0.0008580059729395827,0.0007109707547169811,6.63625786163522e-05,0.008441059057367339
strong,1024,1048576,64,16384,AS1,1,4,5,567.0,0.0,567,567,8.98817e-09,0.0,8.98817e-09,0.6074724,0.004606620045108996,0.59958,0.613916,0.001071379894179894,8.12455034410758e-06,0.03565828,0.0010751266184036176,0.006729758,0.0011868086895098133,0.49138580000000004,0.0024496451498125017,0.0374913,0.0053599657282486415,0.0190141,0.0006529131734005686,0.0008666416225749559,6.612222222222222e-05,0.007583258177834904
strong,1024,1048576,64,16384,AS2,2,4,5,566.0,0.0,566,566,8.47533e-09,0.0,8.47533e-09,0.7012617999999999,0.058754833375306265,0.656032,0.815281,0.0012389784452296819,0.00010380712610478139,0.0334114,0.0018043655472215162,0.004017758000000001,0.0008769229622811801,0.5433070000000001,0.007568794065107075,0.08207129999999999,0.060392056905622944,0.01901346,0.0006378015791764698,0.0009599063604240283,0.00014500229681978796,0.08378444879687767
strong,2048,4194304,1,4194304,BJ,0,4,5,764.0,0.0,764,764,9.63899e-09,0.0,9.63899e-09,208.33859999999999,2.330938832316283,205.184,212.107,0.27269450261780104,0.003050967058005611,23.03734,0.4467008376978944,0.0063350839999999995,0.0037850355681319555,154.1,1.7064809404150976,0.003047654,0.00017905814749404723,15.46054,0.32453125334857996,0.20170157068062827,3.989075916230367e-06,0.011188223556826643
strong,2048,4194304,1,4194304,AS1,1,4,5,764.0,0.0,764,764,9.63899e-09,0.0,9.63899e-09,239.8098,2.6743241688321917,235.965,243.408,0.3138871727748691,0.0035004243047541805,22.772199999999998,0.3191207671086288,0.00462163,6.33474874008432e-05,185.34980000000002,1.9474244940433514,0.0038008639999999997,0.0003357759456304159,15.743720000000001,0.4279258599337041,0.24260445026178007,4.9749528795811515e-06,0.011151855215392331
strong,2048,4194304,1,4194304,AS2,2,4,5,764.0,0.0,764,764,9.63899e-09,0.0,9.63899e-09,240.78119999999998,2.5709281125694647,236.855,243.837,0.31515863874345545,0.003365089152577835,23.084600000000002,0.4925933129874988,0.008991269999999999,0.005360105375721637,186.2192,1.7782638049513357,0.005769946,0.004451215985627297,15.65212,0.2704315617674835,0.24374240837696334,7.552285340314135e-06,0.010677445384313497
strong,2048,4194304,2,2097152,BJ,0,4,5,1215.0,0.0,1215,1215,9.36541e-09,0.0,9.36541e-09,130.695,0.9411745852922306,129.069,131.951,0.1075679012345679,0.0007746292883063642,12.56862,0.1493458054315554,0.38469699999999996,0.08557204895291451,97.63798,2.231020861758133,4.880996000000001,1.897022707176696,8.205602,0.09904381947400855,0.08036047736625515,0.004017280658436214,0.007201305216666519
strong,2048,4194304,2,2097152,AS1,1,4,5,1150.0,0.0,1150,1150,9.92848e-09,0.0,9.92848e-09,142.565,1.662226939981417,140.772,145.402,0.12396956521739129,0.0014454147304186224,12.093219999999999,0.2664042672330908,0.4772778,0.2184532800929297,113.46400000000001,1.34730798260828,0.6085636,0.06201385297044525,8.19751,0.12841793192541295,0.09866434782608695,0.0005291857391304348,0.011659432118552358
strong,2048,4194304,2,2097152,AS2,2,4,5,1112.0,0.0,1112,1112,9.81766e-09,0.0,9.81766e-09,138.798,3.4397541191195593,136.279,145.599,0.124818345323741,0.003093304063956437,12.05476,0.71751850875082,0.6465942,0.2734268203694729,110.15,2.2053305421183445,0.8112619999999999,0.2096845178137861,7.837505999999999,0.14174876304222211,0.09905575539568345,0.0007295521582733812,0.02478244729116817
strong,2048,4194304,4,1048576,BJ,0,4,5,1146.0,0.0,1146,1146,9.85032e-09,0.0,9.85032e-09,48.744479999999996,0.04058730836111361,48.666,48.7751,0.042534450261780106,3.5416499442507385e-05,5.064662,0.08527897757360807,0.15079344,0.09666644877521051,37.7301,0.0513292119557661,0.41977872000000005,0.21153988847778474,2.993172,0.14719581480463362,0.03292329842931937,0.00036629905759162304,0.0008326544536143089
strong,2048,4194304,4,1048576,AS1,1,4,5,1069.0,0.0,1069,1069,8.42689e-09,0.0,8.42689e-09,54.044560000000004,0.11192902393928078,53.8709,54.1694,0.050556183348924234,0.00010470441902645632,4.990192,0.07074474097768707,0.17318958,0.1419171893403812,42.1941,0.058174186715414196,0.3191395,0.15892201547866172,3.385528,0.0954629145584818,0.03947062675397568,0.00029854022450888677,0.0020710507022220328
strong,2048,4194304,4,1048576,AS2,2,4,5,1115.0,0.0,1115,1115,9.20774e-09,0.0,9.20774e-09,56.61994,0.0856479678684795,56.4993,56.7545,0.05078021524663677,7.68143209582768e-05,5.204466,0.058485352559422936,0.24908744,0.12949717836329253,44.13548,0.11006462465297544,0.71909566,0.4089950100045505,3.418394,0.11537139863935088,0.03958339013452915,0.0006449288430493274,0.0015126820669269432
strong,2048,4194304,8,524288,BJ,0,4,5,1110.0,0.0,1110,1110,8.89002e-09,0.0,8.89002e-09,23.69616,0.05512029027499709,23.5895,23.7453,0.02134789189189189,4.96579191666637e-05,2.357186,0.04880213913344377,0.02124816,0.006780631650694498,18.30518,0.021992853384679826,0.2987654,0.11485578757485407,1.505424,0.04306081819937937,0.016491153153153155,0.000269158018018018,0.0023261275360647923
