scaling,grid_size,processes,method,runs,iterations,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,cv_pct,repeat_check,residual_check,iteration_limit_check,iteration_consistency_check,timing_nonnegative_check,halo_check,phase_check,quality_check,cv_status,job_ids
strong,2048,16,AS2,5,1036,8.97052e-09,14.63876,0.026736686406509,14.6032,14.679,0.182643109160264,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216365
strong,2048,16,BJ,5,1079,9.60647e-09,11.551719999999998,0.0077813623485862,11.5427,11.5628,0.067361071326056,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216365
strong,2048,32,AS1,5,1072,9.48762e-09,8.031782,0.0107569835920673,8.01995,8.04594,0.133930223605015,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216672
strong,2048,32,AS2,5,1101,9.99226e-09,13.36954,1.090544622837598,11.8329,14.7877,8.156934515604862,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212471
strong,2048,32,BJ,5,1102,9.23498e-09,5.875762,0.0095988903525354,5.86019,5.88725,0.1633641790211282,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216672
strong,2048,64,AS1,5,1083,9.25241e-09,5.626830000000001,0.0129872506713314,5.60782,5.64236,0.2308093663986901,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216366
strong,2048,64,AS2,5,1103,9.39658e-09,6.1099,0.0409584980193365,6.08029,6.18859,0.6703628213119124,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216366
strong,2048,64,BJ,5,1147,8.75946e-09,4.174403999999999,0.2540312052169969,4.03825,4.68222,6.085448490778491,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216366
strong,2048,128,AS1,5,1101,9.158e-09,2.358342,0.013725301308168,2.34319,2.38252,0.5819894361448886,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216367
strong,2048,128,AS2,5,1095,9.60991e-09,2.5680279999999995,0.0239623699996473,2.54796,2.61367,0.93310392252917,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216367
strong,2048,128,BJ,5,1233,8.66811e-09,2.267382,0.0543927875365842,2.22623,2.36794,2.398924730662248,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216367
weak,256,1,AS1,5,102,9.00337e-09,0.3677042,0.0028239339510689,0.364024,0.371199,0.7679906705087881,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212457
weak,256,1,AS2,5,102,9.00337e-09,0.3698466,0.0064605310184225,0.358458,0.376507,1.7468136839496562,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212457
weak,256,1,BJ,5,102,9.00337e-09,0.3203778,0.0044572163689908,0.313166,0.325074,1.3912375854353345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212457
weak,362,2,AS1,5,226,8.66291e-09,0.9165486,0.0135613756322874,0.9021,0.941641,1.4796133704516528,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212458
weak,362,2,AS2,5,228,9.73973e-09,0.9114348,0.0162956017796213,0.894168,0.940024,1.7879064722590563,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212458
weak,362,2,BJ,5,239,6.24353e-09,0.7964551999999999,0.0090641774784036,0.785376,0.809985,1.138064950596548,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212458
weak,512,4,AS1,5,288,8.47553e-09,0.8078412,0.0035627071392411,0.80553,0.814923,0.4410157762739941,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216368
weak,512,4,AS2,5,292,8.75927e-09,0.8285628,0.0006842211338448,0.827433,0.829463,0.0825792726688783,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216368
