scaling,grid_size,processes,method,n_CG,n_M,R_T,R_T_ci_lower,R_T_ci_upper,R_k,R_k_ci_lower,R_k_ci_upper,R_C,R_C_ci_lower,R_C_ci_upper,runtime_conclusion,screening_RT_le_1_20,bootstrap_seed,bootstrap_samples,ci_level
strong,512,16,BJ,5,5,2.10948148021156,2.08834124066063,2.12897060885937,0.328374070138151,0.328374070138151,0.328374070138151,6.42401965333034,6.35964112447138,6.48337004186624,CG_faster,False,20260802,10000,0.95
strong,512,16,AS1,5,5,2.21401582213864,2.19364320331356,2.23254172187452,0.309245483528162,0.309245483528162,0.309245483528162,7.15941198842771,7.09353351999334,7.21931876386227,CG_faster,False,20260802,10000,0.95
strong,512,16,AS2,5,5,2.3152862133138,2.29404427294804,2.33518731004452,0.307120085015941,0.307120085015941,0.307120085015941,7.53870009248541,7.46953515863011,7.60349916523146,CG_faster,False,20260802,10000,0.95
strong,512,32,BJ,5,5,2.05082296782761,2.03163998727519,2.07017156095186,0.344314558979809,0.344314558979809,0.344314558979809,5.95624818742525,5.90053465440108,6.01244271251759,CG_faster,False,20260802,10000,0.95
strong,512,32,AS1,5,5,2.17668288526952,2.15922103096832,2.19273795075149,0.313496280552604,0.313496280552604,0.313496280552604,6.94324947470718,6.88754911912268,6.99446241239712,CG_faster,False,20260802,10000,0.95
strong,512,32,AS2,5,7,2.5050729348352,2.36559133598138,2.76286444710764,0.312433581296493,0.312433581296493,0.312433581296493,8.01793752272084,7.5715015209472,8.84304573036832,CG_faster,False,20260802,10000,0.95
strong,1024,1,BJ,5,5,2.13127164788207,2.07342201829181,2.19266083865043,0.201791359325606,0.201791359325606,0.201791359325606,10.5617587145696,10.2750783047464,10.8659798218238,CG_faster,False,20260802,10000,0.95
strong,1024,1,AS1,5,5,2.49336655293635,2.44145899218344,2.53042937238576,0.201791359325606,0.201791359325606,0.201791359325606,12.3561611422277,12.0989273294104,12.5398301534939,CG_faster,False,20260802,10000,0.95
strong,1024,1,AS2,5,5,2.49342384935846,2.43446906295748,2.55306917515466,0.201791359325606,0.201791359325606,0.201791359325606,12.356445081155,12.0642879412357,12.6520242674766,CG_faster,False,20260802,10000,0.95
strong,1024,2,BJ,5,5,3.16740269806546,3.14243246801712,3.19084133594916,0.330874604847208,0.330874604847208,0.330874604847208,9.57281898236982,9.49735163104537,9.64365741342596,CG_faster,False,20260802,10000,0.95
strong,1024,2,AS1,5,5,3.63269224851976,3.61194742912644,3.65489858933871,0.325605900948367,0.325605900948367,0.325605900948367,11.1567150286254,11.0930035930129,11.2249150850564,CG_faster,False,20260802,10000,0.95
