scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_type,source_file
strong,512,262144,8,32768,BJ,0,4,4,289,9.81919e-09,0.348728,0.0223608,0.00115523,0.28909,0.00571946,0.0141303,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,BJ,0,4,5,289,9.81919e-09,0.349595,0.022216,0.00097059,0.28927,0.00618352,0.0144595,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,16,16384,AS1,1,4,1,291,8.90873e-09,0.201775,0.0116766,0.00115633,0.165215,0.00894625,0.00718867,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS1,1,4,2,291,8.90873e-09,0.201183,0.0117795,0.000964749,0.165489,0.00800057,0.00718134,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS1,1,4,3,291,8.90873e-09,0.201497,0.0114357,0.000917014,0.165182,0.00910976,0.00704682,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS1,1,4,4,291,8.90873e-09,0.201611,0.0129852,0.00199141,0.166487,0.00679385,0.00663679,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS1,1,4,5,291,8.90873e-09,0.201245,0.0131646,0.00173709,0.167066,0.00565647,0.00665337,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS2,2,4,1,289,8.49987e-09,0.21105,0.0119692,0.000880048,0.175068,0.00816982,0.00712517,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS2,2,4,2,289,8.49987e-09,0.210475,0.0118941,0.00114329,0.17683,0.00631999,0.0066401,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS2,2,4,3,289,8.49987e-09,0.210766,0.0142598,0.00193376,0.177917,0.00273728,0.00689395,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS2,2,4,4,289,8.49987e-09,0.211186,0.0124307,0.00160921,0.175184,0.00766606,0.00717455,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,AS2,2,4,5,289,8.49987e-09,0.209909,0.0115157,0.000935741,0.175231,0.00732216,0.00711857,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,BJ,0,4,1,309,9.99903e-09,0.193017,0.0134031,0.00209377,0.154926,0.00782877,0.00753416,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,BJ,0,4,2,309,9.99903e-09,0.191842,0.0130004,0.00121117,0.155039,0.00689001,0.00758945,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,BJ,0,4,3,309,9.99903e-09,0.190964,0.0130679,0.00182063,0.155157,0.0058014,0.00763756,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,BJ,0,4,4,309,9.99903e-09,0.192984,0.0131681,0.00180665,0.155021,0.00764503,0.00782138,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,16,16384,BJ,0,4,5,309,9.99903e-09,0.190944,0.0127429,0.00136679,0.155013,0.00637576,0.00749944,216358,stability_rerun,stability_strong_n512_p16_216358.csv
strong,512,262144,32,8192,AS1,1,4,1,295,7.55314e-09,0.115572,0.00757975,0.00203619,0.0935779,0.00628306,0.00350515,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS1,1,4,2,295,7.55314e-09,0.116274,0.00705928,0.00156181,0.0918651,0.00932566,0.00344686,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS1,1,4,3,295,7.55314e-09,0.115594,0.00883888,0.00153911,0.0928359,0.00600543,0.00347003,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS1,1,4,4,295,7.55314e-09,0.115128,0.00670888,0.00115883,0.091328,0.0087221,0.00388248,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS1,1,4,5,295,7.55314e-09,0.116365,0.00691555,0.00131538,0.091422,0.00956824,0.00395911,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,1,294,8.03923e-09,0.173268,0.00671402,0.00117322,0.101236,0.0568783,0.00396283,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,2,294,8.03923e-09,0.126804,0.00737343,0.0018118,0.103532,0.00780809,0.00351301,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,3,294,8.03923e-09,0.12614,0.00679996,0.00112376,0.100769,0.0102732,0.0038504,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,4,294,8.03923e-09,0.126804,0.00659592,0.00108595,0.101391,0.0104303,0.00390911,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,5,294,8.03923e-09,0.127198,0.00675745,0.00122843,0.101681,0.00966923,0.00460429,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,AS2,2,4,6,294,8.03923e-09,0.125523,0.00781186,0.00143459,0.103034,0.00683366,0.00339267,216667,followup,followup_strong_n512_p32_216667.csv
strong,512,262144,32,8192,AS2,2,4,7,294,8.03923e-09,0.127048,0.00674426,0.00114938,0.101632,0.0103576,0.00381634,216667,followup,followup_strong_n512_p32_216667.csv
strong,512,262144,32,8192,BJ,0,4,1,324,9.77187e-09,0.108216,0.00825441,0.00218186,0.0819502,0.008854,0.00427258,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,BJ,0,4,2,324,9.77187e-09,0.110461,0.00873677,0.00254997,0.0827313,0.0101255,0.00383407,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,BJ,0,4,3,324,9.77187e-09,0.108397,0.00848102,0.00220506,0.0819832,0.00876423,0.00427304,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,BJ,0,4,4,324,9.77187e-09,0.10946,0.0102339,0.00412414,0.0819998,0.00836497,0.0038339,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,512,262144,32,8192,BJ,0,4,5,324,9.77187e-09,0.108924,0.00835906,0.00225161,0.0820313,0.00856212,0.00506101,216359,stability_rerun,stability_strong_n512_p32_216359.csv
strong,1024,1048576,1,1048576,AS1,1,4,1,383,9.32925e-09,27.1871,2.51673,0.00143298,21.6333,0.00127219,1.4944,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS1,1,4,2,383,9.32925e-09,25.921,2.34442,0.00148148,20.2829,0.00123873,1.66226,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS1,1,4,3,383,9.32925e-09,27.3973,2.49346,0.00149912,21.7552,0.00137839,1.55114,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS1,1,4,4,383,9.32925e-09,27.467,2.41329,0.00152107,21.9678,0.00122495,1.56498,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS1,1,4,5,383,9.32925e-09,26.9302,2.40094,0.00142221,21.401,0.00135904,1.53779,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS2,2,4,1,383,9.32925e-09,26.1028,2.35376,0.00148818,20.6292,0.00124662,1.52315,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS2,2,4,2,383,9.32925e-09,26.2738,2.37982,0.0124697,20.8649,0.00119368,1.46983,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS2,2,4,3,383,9.32925e-09,27.7695,2.41371,0.0014381,22.2167,0.0013585,1.5823,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS2,2,4,4,383,9.32925e-09,27.8292,2.45262,0.00148026,22.3126,0.00130303,1.53472,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,AS2,2,4,5,383,9.32925e-09,26.9304,2.34513,0.00140391,21.5316,0.00111309,1.54979,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,BJ,0,4,1,383,9.32925e-09,24.2046,2.56477,0.00136933,18.7426,0.00116169,1.50097,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,BJ,0,4,2,383,9.32925e-09,23.0712,2.2232,0.00119818,18.3068,0.00107506,1.36854,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,BJ,0,4,3,383,9.32925e-09,22.9772,2.28889,0.00127806,17.8857,0.00111861,1.45131,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,BJ,0,4,4,383,9.32925e-09,23.0407,2.24463,0.00138773,18.1168,0.0009897,1.40211,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,1,1048576,BJ,0,4,5,383,9.32925e-09,22.0179,2.21008,0.00140536,17.3001,0.00102742,1.37543,212466,original,timing_strong_p1_212466.csv
strong,1024,1048576,2,524288,AS1,1,4,1,618,7.69727e-09,19.784,1.85757,0.163827,15.7627,0.259503,1.08529,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS1,1,4,2,618,7.69727e-09,20.0374,1.98027,0.301494,15.8512,0.323827,1.13173,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS1,1,4,3,618,7.69727e-09,19.7285,1.89998,0.213717,15.6556,0.259904,1.10588,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS1,1,4,4,618,7.69727e-09,19.8035,1.88665,0.198975,15.7962,0.204,1.07518,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS1,1,4,5,618,7.69727e-09,19.8175,1.89318,0.253384,15.7951,0.332106,1.06863,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS2,2,4,1,583,9.14869e-09,18.8836,1.83158,0.247818,14.9952,0.296288,1.03948,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS2,2,4,2,583,9.14869e-09,18.6458,1.78597,0.144362,14.8548,0.133992,1.01503,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS2,2,4,3,583,9.14869e-09,18.609,1.83795,0.184147,14.8001,0.182983,1.03635,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS2,2,4,4,583,9.14869e-09,17.7658,1.69794,0.213239,14.2692,0.18122,0.912071,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,AS2,2,4,5,583,9.14869e-09,18.832,1.80634,0.216432,15.0065,0.227291,1.02827,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,BJ,0,4,1,628,8.39677e-09,17.1182,1.70165,0.237116,13.3875,0.620447,1.03748,212467,original,timing_strong_p2_212467.csv
strong,1024,1048576,2,524288,BJ,0,4,2,628,8.39677e-09,17.1469,1.66477,0.161035,13.4566,0.611774,1.0428,212467,original,timing_strong_p2_212467.csv
