crossover_rank,scaling,grid_size,processes,method,R_T,R_T_ci_lower,R_T_ci_upper,runtime_penalty_pct,ci_lower_runtime_penalty_pct,R_k,R_k_ci_lower,R_k_ci_upper,iteration_change_pct,iteration_reduction_pct,R_C,R_C_ci_lower,R_C_ci_upper,per_iteration_cost_change_pct,decomposition_pattern,runtime_conclusion,screening_RT_le_1_20
28,strong,1024,1,BJ,2.13127164788207,2.07342201829181,2.19266083865043,113.127164788207,107.342201829181,0.201791359325606,0.201791359325606,0.201791359325606,-79.8208640674394,79.8208640674394,10.5617587145696,10.2750783047464,10.8659798218238,956.17587145696,iteration_gain_but_per_iteration_penalty,CG_faster,False
29,strong,2048,128,AS1,2.13307248138581,2.08509276104789,2.17713188573036,113.307248138581,108.509276104789,0.287767903815996,0.287767903815996,0.287767903815996,-71.2232096184004,71.2232096184004,7.412475307704,7.24574469007194,7.56558273824193,641.2475307704,iteration_gain_but_per_iteration_penalty,CG_faster,False
30,strong,1024,64,AS1,2.16447014926437,2.14539079704218,2.18178595574949,116.447014926437,114.539079704218,0.298735511064278,0.298735511064278,0.298735511064278,-70.1264488935722,70.1264488935722,7.24543975891317,7.18157272096306,7.30340342859351,624.543975891317,iteration_gain_but_per_iteration_penalty,CG_faster,False
31,strong,512,32,AS1,2.17668288526952,2.15922103096832,2.19273795075149,117.668288526952,115.922103096832,0.313496280552604,0.313496280552604,0.313496280552604,-68.6503719447396,68.6503719447396,6.94324947470718,6.88754911912268,6.99446241239712,594.324947470718,iteration_gain_but_per_iteration_penalty,CG_faster,False
32,strong,512,8,AS1,2.19149606224914,2.17652633397969,2.2059237862594,119.149606224914,117.652633397969,0.298618490967056,0.298618490967056,0.298618490967056,-70.1381509032944,70.1381509032944,7.33878218710476,7.28865224297113,7.38709709206441,633.878218710476,iteration_gain_but_per_iteration_penalty,CG_faster,False
33,strong,512,4,BJ,2.19316009889872,2.17691505373263,2.20995321651736,119.316009889872,117.691505373263,0.317747077577046,0.317747077577046,0.317747077577046,-68.2252922422954,68.2252922422954,6.90221957546386,6.85109386475722,6.95507015633054,590.221957546386,iteration_gain_but_per_iteration_penalty,CG_faster,False
34,weak,512,4,BJ,2.19451206671181,2.17810043152919,2.21122728358083,119.451206671181,117.810043152919,0.317747077577046,0.317747077577046,0.317747077577046,-68.2252922422954,68.2252922422954,6.90647443068835,6.85482443501327,6.95907984565072,590.647443068835,iteration_gain_but_per_iteration_penalty,CG_faster,False
35,strong,512,16,AS1,2.21401582213864,2.19364320331356,2.23254172187452,121.401582213864,119.364320331356,0.309245483528162,0.309245483528162,0.309245483528162,-69.0754516471838,69.0754516471838,7.15941198842771,7.09353351999334,7.21931876386227,615.941198842771,iteration_gain_but_per_iteration_penalty,CG_faster,False
36,strong,512,8,AS2,2.24921474984637,2.23512438764493,2.2629094337773,124.921474984637,123.512438764493,0.298618490967056,0.298618490967056,0.298618490967056,-70.1381509032944,70.1381509032944,7.53206789895173,7.48488273585012,7.57792803268483,653.206789895173,iteration_gain_but_per_iteration_penalty,CG_faster,False
37,strong,1024,8,AS1,2.26186402585635,2.23074941278845,2.29692649895445,126.186402585635,123.074941278845,0.28345626975764,0.28345626975764,0.28345626975764,-71.654373024236,71.654373024236,7.9795872138947,7.86981856035775,8.1032834479843,697.95872138947,iteration_gain_but_per_iteration_penalty,CG_faster,False
