scaling,grid_size,processes,method,n_CG,n_M,T_CG_mean_s,T_M_mean_s,k_CG_mean,k_M_mean,C_CG_s_per_iter,C_M_s_per_iter,R_T,R_k,R_C,R_k_times_R_C,identity_abs_error,identity_pass,screening_RT_le_1_20
strong,2048,2,AS1,5,5,56.531780000000005,142.565,3826.0,1150.0,0.01477568740198641,0.1239695652173913,2.5218558481618656,0.30057501306847884,8.390104760928084,2.5218558481618656,0.0,True,False
strong,2048,2,AS2,5,5,56.531780000000005,138.798,3826.0,1112.0,0.01477568740198641,0.124818345323741,2.4552207625516123,0.29064296915838994,8.447549134462651,2.455220762551612,4.440892098500626e-16,True,False
strong,2048,4,BJ,5,5,31.02038,48.744479999999996,3826.0,1146.0,0.00810778358599059,0.0425344502617801,1.5713695319012855,0.29952953476215366,5.2461255052830005,1.5713695319012855,0.0,True,False
strong,2048,4,AS1,5,5,31.02038,54.044560000000004,3826.0,1069.0,0.00810778358599059,0.050556183348924234,1.7422275291276252,0.2794040773653947,6.235512185633579,1.7422275291276257,4.440892098500626e-16,True,False
strong,2048,4,AS2,5,5,31.02038,56.61994,3826.0,1115.0,0.00810778358599059,0.05078021524663677,1.8252497229240905,0.2914270778881338,6.263143892293786,1.8252497229240907,2.220446049250313e-16,True,False
strong,2048,8,BJ,5,5,15.165020000000002,23.69616,3826.0,1110.0,0.003963674856246734,0.02134789189189189,1.562553824525124,0.2901202300052274,5.385883723092904,1.562553824525124,0.0,True,False
strong,2048,8,AS1,5,5,15.165020000000002,28.014300000000002,3826.0,1066.0,0.003963674856246734,0.026279831144465294,1.8472972669999774,0.2786199686356508,6.630168239720369,1.8472972669999774,0.0,True,False
strong,2048,8,AS2,5,5,15.165020000000002,29.23606,3826.0,1106.0,0.003963674856246734,0.02643405063291139,1.9278616183823032,0.28907475169890223,6.669076448400263,1.9278616183823027,4.440892098500626e-16,True,False
strong,2048,16,BJ,5,5,7.40836,11.55172,3826.0,1079.0,0.0019363199163617356,0.010705949953660797,1.559281676376418,0.2820177731312075,5.529019178698958,1.559281676376418,0.0,True,False
strong,2048,16,AS1,5,5,7.40836,14.889619999999999,3826.0,1066.0,0.0019363199163617356,0.013967748592870543,2.009840234545837,0.2786199686356508,7.213554162638249,2.009840234545837,0.0,True,False
strong,2048,16,AS2,5,5,7.40836,14.63876,3826.0,1036.0,0.0019363199163617356,0.01413007722007722,1.975978489166293,0.2707788813382122,7.297387740878608,1.975978489166293,0.0,True,False
strong,2048,32,BJ,5,5,3.4431559999999997,5.875762,3826.0,1102.0,0.0008999362258233141,0.005331907441016334,1.7065047299628597,0.2880292733925771,5.924761430887388,1.70650472996286,2.220446049250313e-16,True,False
strong,2048,32,AS1,5,5,3.4431559999999997,8.031782,3826.0,1072.0,0.0008999362258233141,0.00749233395522388,2.332680250328478,0.2801881860951385,8.325405445668617,2.332680250328478,0.0,True,False
strong,2048,32,AS2,5,5,3.4431559999999997,13.36954,3826.0,1101.0,0.0008999362258233141,0.012143088101725704,3.8829318218518134,0.2877679038159958,13.493276249232549,3.882931821851813,4.440892098500626e-16,True,False
strong,2048,64,BJ,5,5,2.0517719999999997,4.174404,3826.0,1147.0,0.0005362707788813382,0.0036394106364428945,2.0345360010761433,0.29979090433873495,6.786516774295836,2.0345360010761433,0.0,True,False
strong,2048,64,AS1,5,5,2.0517719999999997,5.62683,3826.0,1083.0,0.0005362707788813382,0.005195595567867036,2.7424245968850345,0.2830632514375327,9.688380893519984,2.742424596885035,4.440892098500626e-16,True,False
strong,2048,64,AS2,5,5,2.0517719999999997,6.1099,3826.0,1103.0,0.0005362707788813382,0.005539347234814143,2.9778649869478677,0.2882906429691584,10.329384805133763,2.9778649869478677,0.0,True,False
strong,2048,128,BJ,5,5,1.105608,2.267382,3826.0,1233.0,0.00028897229482488236,0.0018389148418491484,2.050801007228602,0.32226868792472557,6.363637188691509,2.050801007228602,0.0,True,False
strong,2048,128,AS1,5,5,1.105608,2.358342,3826.0,1101.0,0.00028897229482488236,0.002142,2.1330724813858075,0.2877679038159958,7.412475307703996,2.1330724813858075,0.0,True,False
strong,2048,128,AS2,5,5,1.105608,2.568028,3826.0,1095.0,0.00028897229482488236,0.0023452310502283104,2.3227292132473716,0.2861996863565081,8.115764356058852,2.3227292132473716,0.0,True,False
weak,256,1,BJ,5,5,0.15471240000000003,0.3203778,470.0,102.0,0.00032917531914893625,0.003140958823529412,2.0707958767364474,0.2170212765957447,9.541902569275786,2.0707958767364474,0.0,True,False
weak,256,1,AS1,5,5,0.15471240000000003,0.36770420000000004,470.0,102.0,0.00032917531914893625,0.0036049431372549025,2.37669508067873,0.2170212765957447,10.951438116852973,2.3766950806787306,4.440892098500626e-16,True,False
weak,256,1,AS2,5,5,0.15471240000000003,0.36984659999999997,470.0,102.0,0.00032917531914893625,0.003625947058823529,2.390542710215858,0.2170212765957447,11.015245821582873,2.3905427102158576,4.440892098500626e-16,True,False
weak,362,2,BJ,5,5,0.23165360000000002,0.7964551999999999,663.0,239.0,0.00034940211161387636,0.0033324485355648533,3.4381300355358166,0.36048265460030166,9.537574115314838,3.438130035535816,4.440892098500626e-16,True,False
weak,362,2,AS1,5,5,0.23165360000000002,0.9165485999999999,663.0,226.0,0.00034940211161387636,0.004055524778761061,3.956548052782257,0.34087481146304677,11.60704141148069,3.9565480527822565,4.440892098500626e-16,True,False
weak,362,2,AS2,5,5,0.23165360000000002,0.9114348,663.0,228.0,0.00034940211161387636,0.003997521052631579,3.93447285084281,0.3438914027149321,11.44103289521396,3.9344728508428095,4.440892098500626e-16,True,False
weak,512,4,BJ,5,5,0.3257474,0.7148566,941.0,299.0,0.0003461715196599363,0.0023908247491638795,2.194512066711814,0.3177470775770457,6.906474430688351,2.194512066711814,0.0,True,False
weak,512,4,AS1,5,5,0.3257474,0.8078412,941.0,288.0,0.0003461715196599363,0.002805004166666667,2.479962081048076,0.30605738575983,8.102931660646664,2.479962081048076,0.0,True,False
weak,512,4,AS2,5,5,0.3257474,0.8285627999999999,941.0,292.0,0.0003461715196599363,0.002837543835616438,2.5435745611476865,0.310308182784272,8.196930349451963,2.5435745611476865,0.0,True,False
weak,724,8,BJ,5,5,0.45773659999999994,1.114312,1336.0,462.0,0.0003426172155688622,0.0024119307359307357,2.434395676465461,0.3458083832335329,7.039724293848173,2.434395676465461,0.0,True,False
weak,724,8,AS1,5,5,0.45773659999999994,1.2975619999999999,1336.0,454.0,0.0003426172155688622,0.002858066079295154,2.834735085636587,0.3398203592814371,8.341863600023084,2.8347350856365865,4.440892098500626e-16,True,False
